#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  1.580000               10.533333              1458.195791            -26913.164148           
  1.590000               10.600000              1461.994577            -27892.364875           
  1.600000               10.666667              1465.789974            -28898.080290           
  1.610000               10.733333              1469.581958            -29930.832192           
  1.620000               10.800000              1473.370553            -30991.148993           
  1.630000               10.866667              1477.155743            -32079.565860           
  1.640000               10.933333              1480.937479            -33196.624739           
  1.650000               11.000000              1484.715800            -34342.874281           
  1.660000               11.066667              1488.490713            -35518.870002           
  1.670000               11.133333              1492.262155            -36725.174366           
  1.680000               11.200000              1496.030172            -37962.356640           
  1.690000               11.266667              1499.794723            -39230.993139           
  1.700000               11.333333              1503.555834            -40531.667109           
  1.710000               11.400000              1507.313474            -41864.968897           
  1.720000               11.466667              1511.067639            -43231.495901           
  1.730000               11.533333              1514.818313            -44631.852659           
  1.740000               11.600000              1518.565526            -46066.650827           
  1.750000               11.666667              1522.309261            -47536.509316           
  1.760000               11.733333              1526.049513            -49042.054275           
  1.770000               11.800000              1529.786249            -50583.919170           
  1.780000               11.866667              1533.519507            -52162.744726           
  1.790000               11.933333              1537.249273            -53779.179098           
  1.800000               12.000000              1540.975542            -55433.877843           
  1.810000               12.066667              1544.698279            -57127.504008           
  1.820000               12.133333              1548.417537            -58860.728047           
  1.830000               12.200000              1552.133304            -60634.228022           
  1.840000               12.266667              1555.845538            -62448.689602           
  1.850000               12.333333              1559.554234            -64304.806045           
  1.860000               12.400000              1563.259436            -66203.278225           
  1.870000               12.466667              1566.961149            -68144.814758           
  1.880000               12.533333              1570.659291            -70130.132097           
  1.890000               12.600000              1574.353942            -72159.954319           
  1.900000               12.666667              1578.045090            -74235.013426           
  1.910000               12.733333              1581.732722            -76356.049293           
  1.920000               12.800000              1585.416782            -78523.809751           
  1.930000               12.866667              1589.097329            -80739.050470           
  1.940000               12.933333              1592.774393            -83002.535148           
  1.950000               13.000000              1596.447915            -85315.035609           
  1.960000               13.066667              1600.117910            -87677.331683           
  1.970000               13.133333              1603.784381            -90090.211332           
  1.980000               13.200000              1607.447340            -92554.470675           
  1.990000               13.266667              1611.106764            -95070.914066           
  2.000000               13.333333              1614.762679            -97640.354061           
  2.010000               13.400000              1618.415055            -100263.611557           
  2.020000               13.466667              1622.063918            -102941.515723           
  2.030000               13.533333              1625.709265            -105674.904128           
  2.040000               13.600000              1629.351095            -108464.622754           
  2.050000               13.666667              1632.989396            -111311.526044           
  2.060000               13.733333              1636.624192            -114216.476901           
  2.070000               13.800000              1640.255474            -117180.346802           
  2.080000               13.866667              1643.883249            -120204.015781           
  2.090000               13.933333              1647.507484            -123288.372534           
  2.100000               14.000000              1651.128248            -126434.314316           
  2.110000               14.066667              1654.745490            -129642.747206           
  2.120000               14.133333              1658.359212            -132914.585975           
  2.130000               14.200000              1661.969428            -136250.754164           
  2.140000               14.266667              1665.576180            -139652.184119           
  2.150000               14.333333              1669.179409            -143119.817153           
  2.160000               14.400000              1672.779145            -146654.603402           
  2.170000               14.466667              1676.375349            -150257.502022           
  2.180000               14.533333              1679.968129            -153929.481017           
  2.190000               14.600000              1683.557370            -157671.517649           
  2.200000               14.666667              1687.143153            -161484.598061           
  2.210000               14.733333              1690.725460            -165369.717612           
  2.220000               14.800000              1694.304254            -169327.880843           
  2.230000               14.866667              1697.879594            -173360.101397           
  2.240000               14.933333              1701.451453            -177467.402250           
  2.250000               15.000000              1705.019845            -181650.815618           
  2.260000               15.066667              1708.584773            -185911.383057           
  2.270000               15.133333              1712.146237            -190250.155491           
  2.280000               15.200000              1715.704262            -194668.193231           
  2.290000               15.266667              1719.258789            -199166.566120           
  2.300000               15.333333              1722.809901            -203746.353356           
  2.310000               15.400000              1726.357524            -208408.643821           
  2.320000               15.466667              1729.901743            -213154.535819           
  2.330000               15.533333              1733.442493            -217985.137420           
  2.340000               15.600000              1736.979813            -222901.566247           
  2.350000               15.666667              1740.513718            -227904.949648           
  2.360000               15.733333              1744.044170            -232996.424766           
  2.370000               15.800000              1747.571204            -238177.138454           
  2.380000               15.866667              1751.094823            -243448.247420           
  2.390000               15.933333              1754.615040            -248810.918230           
  2.400000               16.000000              1758.131811            -254266.327417           
  2.410000               16.066667              1761.645199            -259815.661351           
  2.420000               16.133333              1765.155150            -265460.116516           
  2.430000               16.200000              1768.661758            -271200.899275           
  2.440000               16.266667              1772.164929            -277039.226256           
  2.450000               16.333333              1775.664721            -282976.324050           
  2.460000               16.400000              1779.161132            -289013.429464           
  2.470000               16.466667              1782.654167            -295151.789500           
  2.480000               16.533333              1786.143819            -301392.661409           
  2.490000               16.600000              1789.630089            -307737.312716           
  2.500000               16.666667              1793.113014            -314187.021234           
  2.510000               16.733333              1796.592572            -320743.075201           
  2.520000               16.800000              1800.068771            -327406.773228           
  2.530000               16.866667              1803.541607            -334179.424390           
  2.540000               16.933333              1807.011051            -341062.348274           
  2.550000               17.000000              1810.477238            -348056.874835           
  2.560000               17.066667              1813.940080            -355164.344822           
  2.570000               17.133333              1817.399588            -362386.109501           
  2.580000               17.200000              1820.855727            -369723.530839           
  2.590000               17.266667              1824.308596            -377177.981366           
  2.600000               17.333333              1827.758107            -384750.844538           
  2.610000               17.400000              1831.204384            -392443.514379           
  2.620000               17.466667              1834.647228            -400257.396059           
  2.630000               17.533333              1838.086859            -408193.905190           
  2.640000               17.600000              1841.523181            -416254.468606           
  2.650000               17.666667              1844.956166            -424440.524022           
  2.660000               17.733333              1848.385942            -432753.519982           
  2.670000               17.800000              1851.812423            -441194.916273           
  2.680000               17.866667              1855.235612            -449766.183667           
  2.690000               17.933333              1858.655530            -458468.804029           
  2.700000               18.000000              1862.072235            -467304.270342           
  2.710000               18.066667              1865.485573            -476274.086994           
  2.720000               18.133333              1868.895812            -485379.769194           
  2.730000               18.200000              1872.302670            -494622.843974           
  2.740000               18.266667              1875.706341            -504004.849213           
  2.750000               18.333333              1879.106832            -513527.334340           
  2.760000               18.400000              1882.503953            -523191.860382           
  2.770000               18.466667              1885.897971            -532999.999355           
  2.780000               18.533333              1889.288715            -542953.335201           
  2.790000               18.600000              1892.676358            -553053.463044           
  2.800000               18.666667              1896.060630            -563301.990022           
