#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  2.910000               19.400000              2088.973681            1921.520373           
  2.920000               19.466667              2093.094154            1925.110942           
  2.930000               19.533333              2097.213660            1928.700123           
  2.940000               19.600000              2101.332077            1932.287775           
  2.950000               19.666667              2105.449592            1935.874091           
  2.960000               19.733333              2109.565990            1939.458860           
  2.970000               19.800000              2113.681449            1943.042254           
  2.980000               19.866667              2117.795866            1946.624200           
  2.990000               19.933333              2121.909335            1950.204785           
  3.000000               20.000000              2126.021771            1953.783893           
  3.010000               20.066667              2130.133239            1957.361634           
