#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  2.880000               19.200000              1923.020789            1838.252954           
  2.890000               19.266667              1926.376599            1841.588299           
  2.900000               19.333333              1929.729196            1844.921027           
  2.910000               19.400000              1933.078665            1848.251215           
  2.920000               19.466667              1936.425015            1851.578868           
  2.930000               19.533333              1939.768237            1854.903976           
  2.940000               19.600000              1943.108347            1858.226545           
  2.950000               19.666667              1946.445329            1861.546554           
  2.960000               19.733333              1949.779157            1864.863977           
  2.970000               19.800000              1953.109923            1868.178886           
  2.980000               19.866667              1956.437632            1871.491285           
  2.990000               19.933333              1959.762138            1874.801014           
  3.000000               20.000000              1963.083678            1878.108328           
  3.010000               20.066667              1966.402095            1881.413041           
