#
#nB[fm^-3]                nB/n0                 E/A NS[MeV]           E/A HIC[MeV]       
  2.060000               13.733333              1614.196508            1547.925015           
  2.070000               13.800000              1617.768076            1551.447429           
  2.080000               13.866667              1621.336149            1554.967490           
  2.090000               13.933333              1624.900685            1558.485137           
  2.100000               14.000000              1628.461763            1562.000450           
  2.110000               14.066667              1632.019339            1565.513366           
  2.120000               14.133333              1635.573457            1569.023931           
  2.130000               14.200000              1639.124048            1572.532050           
  2.140000               14.266667              1642.671199            1576.037807           
  2.150000               14.333333              1646.214872            1579.541149           
  2.160000               14.400000              1649.755070            1583.042078           
  2.170000               14.466667              1653.291813            1586.540586           
  2.180000               14.533333              1656.825089            1590.036672           
  2.190000               14.600000              1660.354928            1593.530348           
  2.200000               14.666667              1663.881300            1597.021566           
  2.210000               14.733333              1667.404249            1600.510358           
  2.220000               14.800000              1670.923772            1603.996734           
  2.230000               14.866667              1674.439836            1607.480633           
  2.240000               14.933333              1677.952497            1610.962097           
  2.250000               15.000000              1681.461732            1614.441103           
  2.260000               15.066667              1684.967515            1617.917611           
  2.270000               15.133333              1688.469923            1621.391692           
  2.280000               15.200000              1691.968918            1624.863295           
  2.290000               15.266667              1695.464509            1628.332421           
  2.300000               15.333333              1698.956686            1631.799048           
  2.310000               15.400000              1702.445513            1635.263226           
  2.320000               15.466667              1705.930957            1638.724925           
  2.330000               15.533333              1709.412991            1642.184101           
  2.340000               15.600000              1712.891650            1645.640781           
  2.350000               15.666667              1716.366969            1649.094989           
  2.360000               15.733333              1719.838932            1652.546701           
  2.370000               15.800000              1723.307502            1655.995872           
  2.380000               15.866667              1726.772758            1659.442571           
  2.390000               15.933333              1730.234668            1662.886764           
  2.400000               16.000000              1733.693243            1666.328430           
  2.410000               16.066667              1737.148448            1669.767552           
  2.420000               16.133333              1740.600356            1673.204181           
  2.430000               16.200000              1744.048956            1676.638304           
  2.440000               16.266667              1747.494236            1680.069887           
  2.450000               16.333333              1750.936199            1683.498946           
  2.460000               16.400000              1754.374863            1686.925462           
  2.470000               16.466667              1757.810231            1690.349449           
  2.480000               16.533333              1761.242305            1693.770907           
  2.490000               16.600000              1764.671127            1697.189850           
  2.500000               16.666667              1768.096629            1700.606213           
  2.510000               16.733333              1771.518890            1704.020065           
  2.520000               16.800000              1774.937895            1707.431385           
  2.530000               16.866667              1778.353613            1710.840125           
  2.540000               16.933333              1781.766106            1714.246350           
  2.550000               17.000000              1785.175342            1717.650018           
  2.560000               17.066667              1788.581356            1721.051151           
  2.570000               17.133333              1791.984126            1724.449725           
  2.580000               17.200000              1795.383662            1727.845724           
  2.590000               17.266667              1798.779976            1731.239179           
  2.600000               17.333333              1802.173118            1734.630116           
  2.610000               17.400000              1805.563037            1738.018493           
  2.620000               17.466667              1808.949710            1741.404255           
  2.630000               17.533333              1812.333279            1744.787543           
  2.640000               17.600000              1815.713581            1748.168203           
  2.650000               17.666667              1819.090704            1751.546300           
  2.660000               17.733333              1822.464714            1754.921896           
  2.670000               17.800000              1825.835557            1758.294936           
  2.680000               17.866667              1829.203266            1761.665443           
  2.690000               17.933333              1832.567773            1765.033328           
  2.700000               18.000000              1835.929074            1768.398604           
  2.710000               18.066667              1839.287340            1771.761414           
  2.720000               18.133333              1842.642462            1775.121656           
  2.730000               18.200000              1845.994397            1778.479278           
  2.740000               18.266667              1849.343225            1781.834341           
  2.750000               18.333333              1852.688955            1785.186869           
  2.760000               18.400000              1856.031607            1788.536847           
  2.770000               18.466667              1859.371213            1791.884330           
  2.780000               18.533333              1862.707623            1795.229143           
  2.790000               18.600000              1866.041005            1798.571446           
  2.800000               18.666667              1869.371285            1801.911177           
